Unnamed: 0,acc.date,type,reg,operator,fat,location,dmg
665,2020-12-19,British Aerospace BAe-125-700A,(n326td),private,1.0,Parque Nacional Sierra de Lacandon,w/o
666,2020-12-20,Raytheon Hawker 800XP,n412ja,Talon Air,0.0,"Farmingdale-Republic Airport, NY (FRG)",sub
667,2020-12-22,Cessna 525 Citation M2,pr-hft,La Barca Empreendimentos Ltda,0.0,"Uberlândia, MG (SBUL)",sub
668,2020-12-23,Airbus A320-232,n463ua,United Airlines,0.0,"Houston, Texas",non
669,2020-12-30,Cessna 208B Supervan 900,pz-tsk,Blue Wing Airlines,0.0,Kawemhaken-Lawa Anapaike Airstrip,sub
670,2019-01-07,Saab 340B,yl-raf,RAF-AVIA,0.0,Savonlinna Airport (SVL),sub
671,2019-01-12,Boeing 737-524 (WL),vq-bjp,UTair Aviation,0.0,Moskva-Vnukovo Airport (VKO),sub
672,2019-01-12,Canadair CL-600-2A12 Challenger 601,n813wt,TW 601-C Investment LLC,0.0,"Uvalde-Ox Ranch Airport ,TX",sub
673,2019-01-14,Boeing 707-3J9C,ep-cpp,"Saha Air, lsf Islamic Republic of Iran Air Force - IRIAF",15.0,Fat'h Airport,w/o
674,2019-01-16,Cessna 208B Grand Caravan,8r-yac,Air Services Limited - ASL,0.0,Georgetown-Ogle International Airport (OGL),sub
675,2019-01-18,Boeing 777-212ER,9v-sql,Singapore Airlines,0.0,en route Melbourne-Wellington,non
676,2019-01-21,Aero Modifications AMI DC-3-65TP,n467ks,Priority Air Charter,2.0,"SE of Kidron-Stoltzfus Airfield, OH",sub
677,2019-01-22,Boeing 737-8LJ (WL),vp-brr,Aeroflot Russian International Airlines,0.0,Khanty-Mansiysk International Airport (HMA),non
678,2019-01-23,de Havilland Canada DHC-8-102 Dash 8,c-gtco,Air Creebec,0.0,"Rouyn Airport, QC (YUY)",sub
679,2019-01-26,Airbus A321-231,tc-oeb,Onur Air,0.0,Antalya Airport (AYT/LTAI),sub
680,2019-01-28,Airbus A320-214 (WL),n220fr,Frontier Airlines,0.0,"Denver International Airport, CO (DEN/KDEN)",sub
681,2019-01-28,Boeing 727-2B6 Adv. (F),n720ck,Kalitta Charters,0.0,"Tuscaloosa Regional Airport, AL (TCL)",sub
682,2019-01-28,ATR 72-500 (72-212A),ec-lyj,"Air Europa, opb Swiftair",0.0,Palma de Mallorca Airport (PMI),sub
683,2019-01-29,Beechcraft B200 King Air,n13ly,Guardian Flight,3.0,"32 km W off Kake, AK",w/o
684,2019-01-30,Beechcraft 200 Super King Air,c-gtuc,Air Tindi,2.0,"39 km ESE of Whatì/Lac La Martre Airport, NT (YLE)",w/o
685,2019-02-03,Boeing 787-8 Dreamliner,n26909,United Airlines,0.0,"Pacific Ocean, Pacific Ocean",non
686,2019-02-04,Boeing 737-332,st-tal,"Tarco Air, opf Sudan Airways",0.0,Khartoum-Civil Airport,non
687,2019-02-05,Boeing 737-823 (WL),n852nn,American Airlines,0.0,Bluefields,non
688,2019-02-08,Airbus A321-251N,se-rka,Novair,0.0,Billund Airport (BLL),sub
